날짜,종가_OIL_GSL,전일대비_OIL_GSL,등략율_OIL_GSL
2018.03.22,1554.2,0.52,-0.03%
2018.03.21,1554.72,0.82,-0.05%
2018.03.20,1555.54,0.9,-0.06%
2018.03.19,1556.44,0.5,-0.03%
2018.03.18,1556.94,0.22,-0.01%
2018.03.17,1557.16,0.71,-0.05%
2018.03.16,1557.87,0.68,-0.04%
2018.03.15,1558.55,0.72,-0.05%
2018.03.14,1559.27,0.75,-0.05%
2018.03.13,1560.02,0.58,-0.04%
2018.03.12,1560.6,0.29,-0.02%
2018.03.11,1560.89,0.23,-0.01%
2018.03.10,1561.12,0.41,-0.03%
2018.03.09,1561.53,0.49,-0.03%
2018.03.08,1562.02,0.35,-0.02%
2018.03.07,1562.37,0.38,-0.02%
2018.03.06,1562.75,0.01,-0.00%
2018.03.05,1562.76,0.19,-0.01%
2018.03.04,1562.95,0.2,-0.01%
2018.03.03,1563.15,0.31,-0.02%
2018.03.02,1563.46,0.22,-0.01%
2018.03.01,1563.68,0.2,-0.01%
2018.02.28,1563.88,0.19,-0.01%
2018.02.27,1564.07,0.1,-0.01%
2018.02.26,1564.17,0.06,-0.00%
2018.02.25,1564.23,0.07,-0.00%
2018.02.24,1564.3,0.18,-0.01%
2018.02.23,1564.48,0.19,-0.01%
2018.02.22,1564.67,0.39,-0.02%
2018.02.21,1565.06,0.4,-0.03%
2018.02.20,1565.46,0.3,-0.02%
2018.02.19,1565.76,0.19,-0.01%
2018.02.18,1565.95,0.04,-0.00%
2018.02.17,1565.99,0.03,-0.00%
2018.02.16,1566.02,0.04,+ 0.00%
2018.02.15,1565.98,0.26,+ 0.02%
2018.02.14,1565.63,0.12,+ 0.01%
2018.02.13,1565.51,0.04,+ 0.00%
2018.02.12,1565.47,0.13,+ 0.01%
2018.02.11,1565.34,0.03,+ 0.00%
2018.02.10,1565.31,0.2,+ 0.01%
2018.02.09,1565.11,0.31,+ 0.02%
2018.02.08,1564.8,0.42,+ 0.03%
2018.02.07,1564.38,0.48,+ 0.03%
2018.02.06,1563.9,0.76,+ 0.05%
2018.02.05,1563.14,0.34,+ 0.02%
2018.02.04,1562.8,0.2,+ 0.01%
2018.02.03,1562.6,0.55,+ 0.04%
2018.02.02,1562.05,0.65,+ 0.04%
2018.02.01,1561.4,1.06,+ 0.07%
2018.01.31,1560.34,0.71,+ 0.05%
2018.01.30,1559.63,0.96,+ 0.06%
2018.01.29,1558.67,0.55,+ 0.04%
2018.01.28,1558.12,0.36,+ 0.02%
2018.01.27,1557.76,0.62,+ 0.04%
2018.01.26,1557.14,0.7,+ 0.04%
2018.01.25,1556.44,0.59,+ 0.04%
2018.01.24,1555.85,0.58,+ 0.04%
2018.01.23,1555.27,0.54,+ 0.03%
2018.01.22,1554.73,0.54,+ 0.03%
2018.01.21,1554.19,0.27,+ 0.02%
2018.01.20,1553.92,0.6,+ 0.04%
2018.01.19,1553.32,0.59,+ 0.04%
2018.01.18,1552.73,0.57,+ 0.04%
2018.01.17,1552.16,0.58,+ 0.04%
2018.01.16,1551.58,0.89,+ 0.06%
2018.01.15,1550.69,0.53,+ 0.03%
2018.01.14,1550.16,0.4,+ 0.03%
2018.01.13,1549.76,0.53,+ 0.03%
2018.01.12,1549.23,0.56,+ 0.04%
2018.01.11,1548.67,0.51,+ 0.03%
2018.01.10,1548.16,0.36,+ 0.02%
2018.01.09,1547.8,0.31,+ 0.02%
