회사명,종목코드,업종,주요제품,상장일,결산월,대표자명,홈페이지,지역
큐캐피탈,16600,기타 금융업,벤처투자,1993-06-21,12월,황희연,http://www.qcapital.co.kr,서울특별시
크리스탈신소재,900250,기타 금융업,"합성운모 플레이크, 파우더, 테이프",2016-01-28,12월,허위에룬 (HE YUE LUN),http://www.crystalnewmaterial.com,케이맨 제도
티케이케미칼,104480,화학섬유 제조업,"수지, 폴리에스터, 스판덱스",2011-04-26,12월,김해규,http://www.tkchemi.co.kr,대구광역시
티플랙스,81150,기타 금속 가공제품 제조업,"스텐레스봉,판(열간제품) 제조,도매",2009-04-23,12월,김영국,http://www.tplex.co.kr,경기도
파인디앤씨,49120,전자부품 제조업,Lamp Reflector,2001-07-26,12월,"홍성천,김종찬(각자대표)",http://www.finednc.co.kr,충청남도
팜스웰바이오,43090,기타 전문 도매업,"바이오리엑터(Bioreactor, 생물반응기)",2001-10-11,12월,박강규,http://www.pharmswell.com,강원도
팜스토리,27710,동물용 사료 및 조제식품 제조업,사료,1996-07-06,12월,편명식,http://www.dodrambnf.co.kr,서울특별시
포스링크,56730,기타 전문 도매업,"석탄도매,통신공사외",2002-01-04,12월,경규관,http://fourthlink.co.kr,경기도
풍국주정,23900,알코올음료 제조업,발효주정,1994-11-23,12월,"이한용, 김규호(각자 대표이사)",http://www.pungguk.com,대구광역시
피씨디렉트,51380,기계장비 및 관련 물품 도매업,"스토리지(HDD), 프로세서(CPU), Memory, Monitor등",2002-02-15,12월,서대식,http://www.pcdirect.co.kr,서울특별시
피씨엘,241820,의료용품 및 기타 의약 관련제품 제조업,"다중 체외진단 제품, 플랫폼서비스",2017-02-23,12월,김소연,http://www.pclchip.com,서울특별시
피앤텔,54340,통신 및 방송 장비 제조업,이동전화단말기 케이스,2002-01-10,12월,이진환,http://WWW.PNTEL.CO.KR,서울특별시
피에스케이홀딩스,31980,특수 목적용 기계 제조업,감광액제거기,1997-01-07,12월,박경수,http://www.psk-inc.com,경기도
픽셀플러스,87600,전자부품 제조업,CMOS 이미지센서 및 칩셋,2015-06-12,12월,이서규,http://www.pixelplus.com,경기도
한국아트라스비엑스,23890,일차전지 및 축전지 제조업,축전지,1994-11-23,12월,배 호 열,http://www.atlasbx.co.kr,대전광역시
한국제5호스팩,271740,금융 지원 서비스업,기업인수합병,2017-07-24,12월,김정현,,서울특별시
한국컴퓨터,54040,전자부품 제조업,LCD Module용 부품,2002-01-15,12월,강창귀,http://www.kci.co.kr,경상북도
한일사료,5860,동물용 사료 및 조제식품 제조업,배합사료,1994-11-07,12월,차상협,http://www.hanilfeed.com,경기도
한컴시큐어,54920,소프트웨어 개발 및 공급업,전자상거래 보안 솔루션,2001-11-01,12월,노윤선,http://www.hsecure.co.kr,경기도
형지I&C,11080,봉제의복 제조업,남성셔츠,2004-07-02,12월,최혜원,http://www.woosunginc.com,서울특별시
효성오앤비,97870,"비료, 농약 및 살균, 살충제 제조업","혼합유박비료,유기복합비료,혼합유기질비료",2008-04-08,06월,"박태헌,김방식,박문현",,충청남도
휴림로봇,90710,특수 목적용 기계 제조업,제조업용로봇및서비스로봇,2006-12-05,12월,손영석(단독 대표이사),http://www.dstrobot.com,충청남도
대원모방,311840,직물직조 및 직물제품 제조업,"섬유, 모방",2018-12-27,12월,김석만,http://www.daewonwooltextile.co.kr,충청북도
